n	xn1		|f(xn1)|
0 3.000000000000000e+00 9.861228866810978e-02
1 3.059167373200866e+00 3.692745776079587e-03
2 3.057106054691600e+00 4.476150597731987e-06
3 3.057103549998436e+00 6.609823799408332e-12
n	xn1		|f(xn1)|
0 4.000000000000000e+00 2.613705638880109e+00
1 2.419218645889003e+00 7.077003413730973e-01
2 2.756039712206013e+00 4.421987159786218e-01
3 3.317022504001122e+00 5.354807316593719e-01
4 3.009768959371032e+00 8.222996682146211e-02
5 3.050670709725762e+00 1.145253099628074e-02
6 3.057289041659921e+00 3.315284194800316e-04
7 3.057102843928875e+00 1.261809842834083e-06
8 3.057103549917540e+00 1.379611980212303e-10
n	xn1		|f(xn1)|
0 7.500000000000000e-01 3.357864376269049e-01
1 6.883072460969516e-01 2.819126095597957e-02
2 6.820480690939008e-01 3.223569164387818e-04
3 6.819748188604164e-01 4.453119828440322e-08
n	xn1		|f(xn1)|
0 1.000000000000000e+00 2.000000000000000e+00
1 6.000000000000001e-01 3.021130325903070e-01
2 6.524931709804664e-01 1.223535022158933e-01
3 6.882226997487054e-01 2.781052374266890e-02
4 6.816055562499178e-01 1.623411657736940e-03
5 6.819705209666883e-01 1.886410134188665e-05
6 6.819748117285146e-01 1.315406050750312e-08
n	xn1		|f(xn1)|
0 1.200000000000000e+00 6.719999999999970e-01
1 1.078216745197536e+00 1.803452487225456e-01
2 1.099247508414960e+00 6.016937312793402e-03
3 1.099999057920629e+00 7.523457661307020e-06
4 1.099999999998520e+00 1.181632569569047e-11
n	xn1		|f(xn1)|
0 2.000000000000000e+00 5.615999999999914e-01
1 2.197052631578944e+00 7.856349579718369e-03
2 2.199996104132345e+00 1.037081801058548e-05
3 2.199999999993082e+00 1.842437313825940e-11
n	xn1		|f(xn1)|
0 3.500000000000000e+00 5.615999999999630e-01
1 3.302947368421066e+00 7.856349579718369e-03
2 3.300003895867665e+00 1.037081806742890e-05
3 3.300000000006907e+00 1.841016228354420e-11
n	xn1		|f(xn1)|
0 4.200000000000000e+00 1.115999999999921e+00
1 4.526125073056665e+00 1.232458998027717e+00
2 4.420483713897848e+00 1.692244831958831e-01
3 4.400667315580035e+00 5.335111260826864e-03
4 4.400000741025582e+00 5.917837718527608e-06
5 4.400000000000901e+00 7.226219622680219e-12
n	xn1		|f(xn1)|
0 2.500000000000000e+00 8.370926812584489e-02
1 2.709273170314612e+00 3.319603917139702e-03
2 2.718266884143390e+00 5.497721604408312e-06
3 2.718281828417966e+00 1.511235581119763e-11
n	xn1		|f(xn1)|
0 2.500000000000000e+00 8.370926976203918e-02
1 2.709273099899292e+00 3.319629933685064e-03
2 2.718266963958740e+00 5.468359177029924e-06
3 2.718281745910645e+00 3.036786111465517e-08
n	xn1		|f(xn1)|
0 4.000000000000000e+00 2.613705638880109e+00
1 3.500000000000000e+00 9.972370315046319e-01
2 3.250000000000000e+00 3.838450036583538e-01
3 3.125000000000000e+00 1.261907168116352e-01
4 3.062500000000000e+00 9.674674129154681e-03
5 3.062500000000000e+00 9.674674129154681e-03
6 3.062500000000000e+00 9.674674129154681e-03
7 3.062500000000000e+00 9.674674129154681e-03
8 3.058593750000000e+00 2.665476027821967e-03
9 3.058593750000000e+00 2.665476027821967e-03
10 3.057617187500000e+00 9.181995684575117e-04
11 3.057128906250000e+00 4.531484340919434e-05
12 3.057128906250000e+00 4.531484340919434e-05
